ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor,number_of_matches
232.712423646445,26.9940897902132,19.83783,18.74502,18.62288,18.64942,18.66053,1237662697034744e3,2080713675508836400,STAR,A0,sdss,1848,54180,184,262.948497473236,8.45787445689199,19.42291,18.11378,18.21474,18.31419,18.35093,1237671696060908800,3172926752414525400,STAR,A0,segue1,2818,54616,512,0.9973251042835276,15713
278.179766592749,64.9013312299114,18.3342,16.79652,16.23539,16.04605,15.97742,1237671940882104300,2873409889672128500,STAR,F9,segue1,2552,54632,412,252.073158946766,17.6938575966679,19.78001,18.79816,18.45284,18.29976,18.23839,1237662224631202300,4570245515103412e3,STAR,F3/F5V (30743),boss,4059,55360,792,0.9146454314604292,62062
62.5102880889811,-6.23462435133939,20.03346,18.60986,17.99777,17.7355,17.59914,1237652899701457200,3554470209635066e3,STAR,F9,segue2,3157,54802,15,126.191003913503,38.3755957039623,19.37488,18.2434,17.9117,17.75895,17.74131,1237657594077184300,3635644680454119400,STAR,F2,segue2,3229,54876,414,0.9692701026396836,60666
209.140888205914,43.1226062266271,18.33734,17.23149,16.87171,16.72597,16.68008,1237661852013887500,1515564676048513e3,STAR,F2,sdss,1346,52822,376,117.759217354259,16.1220918804584,18.68927,17.63538,17.54523,17.5355,17.55831,1237664835921641700,2162913974956353500,STAR,A0,sdss,1921,53317,219,0.978537721299983,83045
118.312284308756,17.14212527161,19.76327,17.81152,17.06495,16.81124,16.6609,1237664836458971600,3055718256292686e3,STAR,K3,segue1,2714,54208,94,190.371179821931,60.3442638596464,18.05368,16.62982,16.08243,15.88805,15.78323,1237655108916019200,2754045257069914e3,STAR,F9,segue1,2446,54571,342,0.7044847031893281,38383
252.856779526303,12.1659374949589,18.43359,17.43807,17.10341,16.97765,16.92111,1237668572544106800,3148071192775125e3,STAR,F5,segue1,2796,54629,200,35.2522204724285,0.0699337569080501,20.00725,19.1229,18.81949,18.70163,18.71192,1237663784212824300,4770640857094136e3,STAR,F3/F5V (30743),boss,4237,55478,738,0.9840474841427668,88572
177.845277068178,6.19876197289386,18.02104,16.67564,16.18007,15.97318,15.90438,1237661970108711e3,3654690696805327e3,STAR,F9,segue2,3246,54939,71,122.683555342074,29.6297215022782,18.81618,17.83645,17.52622,17.40696,17.37831,1237657627896578e3,5011611750572728e3,STAR,F3/F5V (30743),boss,4451,55537,841,0.9536686022598878,87159
357.301455337628,14.9838450832933,18.10599,16.94317,16.39408,16.15185,16.02998,1237656242244681700,3525239966697365500,STAR,G2,segue2,3131,54731,172,211.895460565572,-0.38877566876895,18.99113,17.80291,17.33478,17.20868,17.12686,1237648704052658400,340074301866666e3,STAR,G0,sdss,302,51688,191,0.9784871728500822,57554
207.253154847464,33.3829684294166,19.12272,18.23851,17.90618,17.77731,17.7547,1237665129088876500,2283337719516e6,STAR,F5,sdss,2028,53818,46,191.253260010213,-7.51604110829696,20.15534,19.31771,19.00226,18.88492,18.84727,1237671763709526300,3047946357278009300,STAR,F5,segue1,2707,54144,492,0.9923651774638584,87913
327.221676792527,-0.813568999685452,18.44499,16.35396,15.53248,15.23915,15.09096,1237656567581638700,1246453160285857800,STAR,K1,sdss,1107,52968,298,201.392048681156,32.4763746365034,19.28173,17.87095,17.23376,16.98785,16.85002,1237665331469025300,3802173414303703e3,STAR,G2,segue2,3377,54950,34,0.5565799351131345,20343
117.39648731372,40.3383803838444,19.00276,17.35946,16.67134,16.40892,16.2541,1237673703968211200,3558972709364932600,STAR,F9,segue2,3161,54779,11,189.519304208845,34.3196525096091,18.91014,17.59616,17.1206,16.93496,16.8562,1237665024369819600,3822434115974701e3,STAR,F9,segue2,3395,55004,14,0.9047763717983164,48694
177.169964116972,6.13997093616933,19.90979,18.70744,18.25512,18.06177,17.98565,1237654606943814e3,3654710488014627e3,STAR,F2,segue2,3246,54939,143,214.39211028928,-1.09551373637513,20.04478,18.9545,18.60772,18.47317,18.44948,1237651709433872600,1032560480880715800,STAR,F5,sdss,917,52400,401,0.9935169320160092,74471
